Id,Parent,Label
1,0,Fruits
2,0,Drinks
3,0,Clothing
4,0,Animals
5,0,Transport
6,0,Furniture
7,0,Stationary
8,0,Instruments
9,1,apple
10,1,banana
11,1,cheery
12,1,date
13,1,orange
14,1,mango
15,1,papaya
16,1,lime
17,2,coffee
18,2,tea
19,2,water
20,2,soda
21,2,milk
22,2,yogurt
23,2,beer
24,2,wine
25,3,hat
26,3,t-shirt
27,3,shorts
28,3,jeans
29,3,blouse
30,3,socks
31,3,jacket
32,3,skirt
33,4,cat
34,4,dog
35,4,fish
36,4,pig
37,4,cow
38,4,chicken
39,4,tiger
40,4,elephant
41,5,bus
42,5,taxi
43,5,train
44,5,airplane
45,5,bike
46,5,truck
47,5,ferry
48,5,cruise
49,6,bed
50,6,table
51,6,chair
52,6,stool
53,6,sofa
54,6,couch
55,6,cabinet
56,6,drawer
57,7,pen
58,7,highlighter
59,7,eraser
60,7,pencil
61,7,ruler
62,7,glue
63,7,calculator
64,7,scissor
65,8,cello
66,8,drum
67,8,flute
68,8,guitar
69,8,piano
70,8,violin
71,8,trumpet
72,8,saxophone
