Id,Parent,Label
1,0,Fruits
2,0,Drinks
3,0,Clothing
4,0,Animals
5,0,Transport
6,0,Furniture
7,0,Stationary
8,0,Instruments
9,1,Apple
10,1,Banana
11,1,Cherry
12,1,Date
13,1,Orange
14,1,Mango
15,1,Papaya
16,1,Lime
17,2,Coffee
18,2,Tea
19,2,Water
20,2,Soda
21,2,Milk
22,2,Yogurt
23,2,Beer
24,2,Wine
25,3,Hat
26,3,T-Shirt
27,3,Shorts
28,3,Jeans
29,3,Blouse
30,3,Socks
31,3,Jacket
32,3,Skirt
33,4,Cat
34,4,Dog
35,4,Fish
36,4,Pig
37,4,Cow
38,4,Chicken
39,4,Tiger
40,4,Elephant
41,5,Bus
42,5,Taxi
43,5,Train
44,5,Airplane
45,5,Bike
46,5,Truck
47,5,Ferry
48,5,Cruise
49,6,Bed
50,6,Table
51,6,Chair
52,6,Stool
53,6,Sofa
54,6,Couch
55,6,Cabinet
56,6,Drawer
57,7,Pen
58,7,Highlighter
59,7,Eraser
60,7,Pencil
61,7,Ruler
62,7,Glue
63,7,Calculator
64,7,Scissor
65,8,Cello
66,8,Drum
67,8,Flute
68,8,Guitar
69,8,Piano
70,8,Violin
71,8,Trumpet
72,8,Saxophone
73,9,Apple1
74,9,Apple2
75,9,Apple3
76,9,Apple4
77,9,Apple5
78,9,Apple6
79,9,Apple7
80,9,Apple8
81,10,Banana1
82,10,Banana2
83,10,Banana3
84,10,Banana4
85,10,Banana5
86,10,Banana6
87,10,Banana7
88,10,Banana8
89,11,Cherry1
90,11,Cherry2
91,11,Cherry3
92,11,Cherry4
93,11,Cherry5
94,11,Cherry6
95,11,Cherry7
96,11,Cherry8
97,12,Date1
98,12,Date2
99,12,Date3
100,12,Date4
101,12,Date5
102,12,Date6
103,12,Date7
104,12,Date8
105,13,Orange1
106,13,Orange2
107,13,Orange3
108,13,Orange4
109,13,Orange5
110,13,Orange6
111,13,Orange7
112,13,Orange8
113,14,Mango1
114,14,Mango2
115,14,Mango3
116,14,Mango4
117,14,Mango5
118,14,Mango6
119,14,Mango7
120,14,Mango8
121,15,Papaya1
122,15,Papaya2
123,15,Papaya3
124,15,Papaya4
125,15,Papaya5
126,15,Papaya6
127,15,Papaya7
128,15,Papaya8
129,16,Lime1
130,16,Lime2
131,16,Lime3
132,16,Lime4
133,16,Lime5
134,16,Lime6
135,16,Lime7
136,16,Lime8
137,17,Coffee1
138,17,Coffee2
139,17,Coffee3
140,17,Coffee4
141,17,Coffee5
142,17,Coffee6
143,17,Coffee7
144,17,Coffee8
145,18,Tea1
146,18,Tea2
147,18,Tea3
148,18,Tea4
149,18,Tea5
150,18,Tea6
151,18,Tea7
152,18,Tea8
153,19,Water1
154,19,Water2
155,19,Water3
156,19,Water4
157,19,Water5
158,19,Water6
159,19,Water7
160,19,Water8
161,20,Soda1
162,20,Soda2
163,20,Soda3
