Id,Parent,Label
1,0,Fruits
2,0,Drinks
3,0,Clothing
4,0,Animals
5,1,Apple
6,1,Banana
7,1,Cheery
8,1,Orange
9,2,Coffee
10,2,Tea
11,2,Soda
12,2,Milk
13,3,Hat
14,3,Shorts
15,3,Jeans
16,3,Blouse
17,4,Dog
18,4,Fish
19,4,Pig
20,4,Cow
21,5,Apple1
22,5,Apple2
23,5,Apple3
24,5,Apple4
25,6,Banana1
26,6,Banana2
27,6,Banana3
28,6,Banana4
29,7,Cheery1
30,7,Cheery2
31,7,Cheery3
32,7,Cheery4
33,8,Orange1
34,8,Orange2
35,8,Orange3
36,8,Orange4
37,9,Coffee1
38,9,Coffee2
39,9,Coffee3
40,9,Coffee4
41,10,Tea1
42,10,Tea2
43,10,Tea3
44,10,Tea4
45,11,Soda1
46,11,Soda2
47,11,Soda3
48,11,Soda4
49,12,Milk1
50,12,Milk2
51,12,Milk3
52,12,Milk4
53,13,Hat1
54,13,Hat2
55,13,Hat3
56,13,Hat4
57,14,Shorts1
58,14,Shorts2
59,14,Shorts3
60,14,Shorts4
61,15,Jeans1
62,15,Jeans2
63,15,Jeans3
64,15,Jeans4
65,16,Blouse1
66,16,Blouse2
67,16,Blouse3
68,16,Blouse4
69,17,Dog1
70,17,Dog2
71,17,Dog3
72,17,Dog4
73,18,Fish1
74,18,Fish2
75,18,Fish3
76,18,Fish4
77,19,Pig1
78,19,Pig2
79,19,Pig3
80,19,Pig4
81,20,Cow1
82,20,Cow2
83,20,Cow3
84,20,Cow4
